Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,54.96875,55.125,51.78125,54.03125,37.228050231933594,53076000
2000-01-04,52.75,53.5,50.875,51.0,35.13949966430664,50805600
2000-01-05,50.03125,52.25,48.625,50.84375,35.03184509277344,68524000
2000-01-06,50.40625,50.9375,49.3125,50.0,34.45050048828125,48242600
2000-01-07,49.6875,53.0,49.6875,52.9375,36.47444534301758,62260600
2000-01-10,54.25,55.0,53.0625,54.90625,37.8309440612793,50583000
2000-01-11,54.0625,54.8125,52.5,53.25,36.68977355957031,43210200
2000-01-12,53.4375,53.75,51.75,51.90625,35.763916015625,40757800
2000-01-13,53.0,53.25,51.875,53.09375,36.58209991455078,34494400
2000-01-14,54.125,54.625,52.5,53.78125,37.055809020996094,43623000
2000-01-18,53.75,56.25,53.625,56.0,38.584537506103516,59568600
2000-01-19,55.84375,56.5,54.53125,56.15625,38.69221115112305,45597000
2000-01-20,56.6875,57.5625,55.71875,56.1875,38.71372985839844,41731200
2000-01-21,57.4375,57.6875,56.21875,57.625,39.704193115234375,44974600
2000-01-24,57.875,57.875,54.25,54.53125,37.57255935668945,43787800
2000-01-25,54.25,56.4375,53.53125,56.0625,38.62762451171875,55379800
2000-01-26,55.71875,55.875,53.5,53.59375,36.926612854003906,35308800
2000-01-27,54.40625,55.3125,51.875,53.3125,36.732826232910156,47908600
2000-01-28,53.28125,54.6875,51.5,51.9375,35.78544616699219,49564400
2000-01-31,51.46875,54.8125,50.0,54.75,37.72329330444336,66914600
2000-02-01,54.890625,59.0625,54.78125,58.90625,40.58698272705078,87263000
2000-02-02,58.0625,58.875,56.5,56.9375,39.230499267578125,68449200
2000-02-03,57.4375,59.3125,57.25,58.90625,40.58698272705078,48675200
2000-02-04,59.78125,61.25,59.3125,60.5625,41.72815704345703,52970000
2000-02-07,62.03125,62.6875,61.28125,62.59375,43.127708435058594,48933400
2000-02-08,63.9375,64.0,61.84375,62.90625,43.34300994873047,72100800
2000-02-09,66.625,67.5,63.21875,64.40625,44.376548767089844,107807600
2000-02-10,65.3125,68.125,64.28125,67.96875,46.83113098144531,64314000
2000-02-11,66.5625,66.8125,64.0625,65.46875,45.108612060546875,75471000
2000-02-14,66.46875,66.46875,63.46875,65.25,44.957889556884766,49103800
2000-02-15,64.875,65.0625,62.65625,64.0,44.096622467041016,61367200
2000-02-16,63.9375,64.75,63.375,63.5859375,43.81132125854492,46274000
2000-02-17,64.46875,65.3125,63.8125,65.25,44.957889556884766,39656600
2000-02-18,65.34375,65.40625,62.78125,62.90625,43.34300994873047,41600000
2000-02-22,63.28125,63.53125,60.625,61.96875,42.697078704833984,61144400
2000-02-23,63.5,69.5,63.15625,69.3125,47.756996154785156,105707800
2000-02-24,68.625,68.875,66.25,68.625,47.28330612182617,74976000
2000-02-25,68.3125,68.625,65.53125,66.375,45.733028411865234,46451200
2000-02-28,65.3828125,66.59375,63.8125,65.28125,44.97941207885742,52048400
2000-02-29,66.1796875,66.96875,64.6328125,66.09375,45.53923416137695,41688600
2000-03-01,66.34375,67.6875,65.0,65.84375,45.36699676513672,39469400
2000-03-02,65.5625,66.75,64.96875,66.375,45.733028411865234,31939200
2000-03-03,67.25,69.46875,66.9375,68.71875,47.34789276123047,38053800
2000-03-06,68.59375,69.0,67.21875,68.0625,46.895713806152344,33787600
2000-03-07,68.875,68.90625,65.375,66.03125,45.49617385864258,42309600
2000-03-08,66.625,67.5,65.0,66.1875,45.603851318359375,48042400
2000-03-09,66.9375,69.9921875,66.0625,69.65625,47.99383544921875,67248600
2000-03-10,69.5625,70.9375,68.03125,68.1875,46.98184585571289,48013600
2000-03-13,67.5,70.015625,67.0,68.09375,46.917266845703125,47557200
2000-03-14,68.46875,69.0625,65.84375,65.875,45.38852310180664,58617400
2000-03-15,66.75,67.5,63.3125,64.3125,44.31193161010742,62863600
2000-03-16,64.875,66.6875,62.15625,65.8359375,45.361602783203125,75486200
2000-03-17,65.5,67.96875,65.5,67.5,46.50815963745117,53047600
2000-03-20,67.5,68.375,66.28125,67.0625,46.20671463012695,39242200
2000-03-21,67.25,70.6875,66.46875,70.4296875,48.5267448425293,57357400
2000-03-22,70.8125,73.375,69.4375,72.1875,49.73789596557617,59111600
2000-03-23,73.125,78.9375,72.0,77.8125,53.61357879638672,76967200
2000-03-24,80.125,81.3125,78.25,79.375,54.690147399902344,64910400
2000-03-27,81.4375,82.0,79.0625,80.0625,55.163856506347656,47360000
2000-03-28,79.5625,80.5,77.5,77.875,53.6566276550293,42658000
