Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.0625,23.25,21.0625,22.375,10.63992691040039,440100
2000-01-04,21.875,22.25,21.5625,21.625,10.283283233642578,529100
2000-01-05,21.8125,22.1875,21.3125,21.375,10.16440486907959,362400
2000-01-06,21.625,21.625,20.8125,21.125,10.04551887512207,491100
2000-01-07,21.4375,22.375,21.0625,22.125,10.521045684814453,357000
2000-01-10,21.875,22.1875,21.8125,21.9375,10.431885719299316,270200
2000-01-11,21.875,22.625,21.875,22.5625,10.729092597961426,478700
2000-01-12,22.3125,22.5,21.0625,21.5625,10.253561973571777,333100
2000-01-13,21.5,21.5625,20.0,20.3125,9.659150123596191,822600
2000-01-14,20.75,21.25,20.1875,21.25,10.104964256286621,759200
2000-01-18,21.1875,21.5625,20.875,21.0625,10.015809059143066,433200
2000-01-19,21.0,21.6875,20.9375,21.1875,10.07524299621582,366200
2000-01-20,21.3125,21.5,20.625,20.6875,9.83747386932373,268600
2000-01-21,21.0625,21.125,20.25,20.4375,9.718595504760742,406600
2000-01-24,20.375,20.5,19.875,19.875,9.451116561889648,710800
2000-01-25,20.25,23.375,20.125,21.25,10.104964256286621,1474900
2000-01-26,21.125,21.375,20.1875,21.25,10.104964256286621,877900
2000-01-27,21.4375,22.375,21.0625,21.4375,10.19412612915039,1049800
2000-01-28,21.5,21.75,21.25,21.5625,10.253561973571777,762300
2000-01-31,21.5625,21.625,20.875,21.5,10.223843574523926,358900
2000-02-01,21.3125,21.3125,20.625,21.0,9.986077308654785,788700
2000-02-02,20.75,21.625,20.75,21.5,10.223843574523926,595900
2000-02-03,22.25,22.25,21.25,21.75,10.342724800109863,530600
2000-02-04,21.9375,22.0,21.3125,21.625,10.283283233642578,445700
2000-02-07,21.375,21.4375,21.0625,21.3125,10.13468074798584,211900
2000-02-08,21.5,22.0625,21.3125,22.0625,10.491332054138184,349700
2000-02-09,21.625,21.6875,21.125,21.5,10.223843574523926,494500
2000-02-10,21.625,22.1875,21.4375,21.9375,10.431885719299316,581700
2000-02-11,22.5,22.875,21.875,22.1875,10.550768852233887,863500
2000-02-14,22.8125,22.8125,21.875,22.0,10.461604118347168,366100
2000-02-15,21.9375,22.3125,21.625,21.9375,10.431885719299316,455800
2000-02-16,21.9375,22.0625,21.5,21.75,10.342724800109863,424000
2000-02-17,21.6875,21.875,21.5,21.75,10.342724800109863,426500
2000-02-18,22.0,22.125,21.3125,21.3125,10.178204536437988,590400
2000-02-22,20.9375,21.25,20.5625,21.1875,10.118511199951172,423700
2000-02-23,20.9375,22.0,20.9375,21.75,10.3871431350708,378300
2000-02-24,21.8125,22.0,20.4375,21.9375,10.476682662963867,508300
2000-02-25,21.9375,21.9375,21.0,21.375,10.20805549621582,425700
2000-02-28,21.0,21.1875,20.625,21.1875,10.118511199951172,460900
2000-02-29,21.1875,21.625,20.9375,21.1875,10.118511199951172,312200
2000-03-01,21.25,21.25,20.875,21.0625,10.058810234069824,273400
2000-03-02,21.25,21.375,20.625,21.125,10.08866024017334,1622000
2000-03-03,20.75,21.8125,20.6875,21.0,10.028964042663574,418000
2000-03-06,20.75,21.25,20.4375,21.0625,10.058810234069824,374300
2000-03-07,20.8125,21.375,20.625,20.8125,9.93941879272461,507800
2000-03-08,20.5625,21.0,20.375,20.9375,9.999114990234375,328200
2000-03-09,21.0,21.9375,20.8125,21.4375,10.237896919250488,553100
2000-03-10,21.125,22.125,21.0625,22.0625,10.53637981414795,361800
2000-03-13,21.5625,22.0625,21.375,22.0,10.506529808044434,548600
2000-03-14,21.75,22.0,21.5,21.5625,10.297595024108887,309900
2000-03-15,21.3125,22.25,21.125,22.1875,10.596076011657715,505400
2000-03-16,22.875,24.375,22.625,24.3125,11.610917091369629,644800
2000-03-17,22.0,24.1875,22.0,24.0,11.461674690246582,873600
2000-03-20,23.75,23.875,22.1875,22.75,10.864709854125977,446600
2000-03-21,23.0,23.0625,22.25,22.875,10.924405097961426,334700
2000-03-22,23.3125,23.3125,22.25,23.125,11.043798446655273,395600
2000-03-23,22.875,24.0625,22.5625,24.0,11.461674690246582,447600
2000-03-24,24.0,24.375,23.6875,24.25,11.581062316894531,485100
2000-03-27,24.25,24.9375,24.25,24.75,11.81984806060791,387300
2000-03-28,25.0,25.5,24.9375,24.9375,11.909392356872559,421900
2000-03-29,24.6875,25.0,24.0,24.25,11.581062316894531,567900
2000-03-30,24.25,24.875,24.1875,24.6875,11.789999961853027,352800
2000-03-31,25.0,25.4375,24.5625,25.25,12.058635711669922,405200
2000-04-03,25.3125,26.0,25.0,26.0,12.416807174682617,455700
2000-04-04,25.875,26.5,25.5,25.75,12.297420501708984,470200
2000-04-05,25.875,26.25,25.1875,25.9375,12.386961936950684,337300
2000-04-06,25.6875,27.1875,25.6875,27.0625,12.924232482910156,359300
2000-04-07,27.25,29.6875,26.25,28.3125,13.521190643310547,593200
2000-04-10,28.125,28.125,27.4375,27.6875,13.222716331481934,219800
2000-04-11,27.5625,28.6875,27.125,28.0625,13.401799201965332,316100
2000-04-12,28.0625,29.25,27.1875,28.625,13.670431137084961,409200
2000-04-13,28.5,28.5,26.8125,27.0625,12.924232482910156,475400
2000-04-14,27.125,27.125,25.5,26.4375,12.625750541687012,751700
2000-04-17,26.1875,26.375,25.75,25.9375,12.386961936950684,920100
2000-04-18,25.9375,26.0625,25.3125,25.5,12.178032875061035,1130700
2000-04-19,25.5,25.625,24.6875,24.6875,11.789999961853027,804000
2000-04-20,24.8125,25.75,24.75,25.5625,12.207879066467285,479000
2000-04-24,25.3125,25.9375,25.125,25.3125,12.088481903076172,331300
2000-04-25,25.4375,26.875,25.1875,26.4375,12.625750541687012,525500
2000-04-26,26.1875,26.25,25.0625,25.125,11.998936653137207,547900
2000-04-27,24.9375,25.0,24.0,24.75,11.81984806060791,468800
2000-04-28,24.75,24.75,24.375,24.375,11.640767097473145,272600
2000-05-01,24.4375,25.375,24.4375,25.0,11.939238548278809,433100
2000-05-02,24.9375,25.125,24.6875,24.75,11.81984806060791,542700
2000-05-03,24.75,24.8125,24.0625,24.625,11.760149955749512,686500
2000-05-04,24.5625,25.625,24.5625,24.875,11.87954330444336,644000
2000-05-05,24.9375,25.5625,24.9375,25.0625,11.969087600708008,268800
2000-05-08,25.0,25.5625,24.5625,24.9375,11.909392356872559,332500
2000-05-09,24.9375,25.25,24.375,24.5,11.700453758239746,550100
2000-05-10,24.5625,24.5625,23.375,23.8125,11.372126579284668,474900
2000-05-11,23.875,24.3125,23.5,24.125,11.521366119384766,516900
2000-05-12,24.1875,24.75,23.75,24.375,11.640767097473145,273700
2000-05-15,24.625,25.0625,24.625,24.8125,11.849699974060059,192500
2000-05-16,24.875,25.4375,24.8125,24.8125,11.849699974060059,399300
2000-05-17,24.75,24.9375,24.5625,24.625,11.760149955749512,395200
2000-05-18,24.625,25.6875,24.625,25.0,11.939238548278809,409800
2000-05-19,24.5625,25.0,24.5625,24.875,11.87954330444336,300400
2000-05-22,24.875,25.0625,24.5625,24.625,11.760149955749512,262900
2000-05-23,24.5,25.875,24.375,25.6875,12.314075469970703,483800
2000-05-24,25.6875,26.75,25.5,25.8125,12.374002456665039,777600
2000-05-25,26.0625,26.5,26.0,26.125,12.523808479309082,281800
2000-05-26,26.75,27.25,26.5,26.9375,12.913298606872559,526800
