Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.0,448.0,384.0,420.0,327.5920104980469,792528
2000-08-14,419.0,420.0,384.0,384.0,299.5127258300781,80228
2000-08-15,389.0,396.0,384.0,388.0,302.6325988769531,48422
2000-08-16,386.0,418.0,386.0,396.0,308.8724670410156,42166
2000-08-17,392.0,400.0,382.0,384.0,299.5127258300781,47247
2000-08-18,401.0,460.0,396.0,458.0,357.2312927246094,60400
2000-08-21,482.0,520.0,446.0,486.0,379.0707702636719,66547
2000-08-22,492.0,502.0,432.0,432.0,336.9517517089844,33878
2000-08-23,434.0,440.0,408.0,416.0,324.47210693359375,17925
2000-08-24,414.0,418.0,386.0,386.0,301.0726623535156,18441
2000-08-25,402.0,414.0,388.0,412.0,321.3521423339844,20113
2000-08-28,429.0,433.5,400.0,420.0,327.5920104980469,19491
2000-08-29,430.0,432.0,404.0,428.0,333.8319396972656,22728
2000-08-30,427.0,470.0,424.0,454.0,354.1112976074219,19891
2000-08-31,482.0,528.0,476.0,518.0,404.0301513671875,87397
2000-09-01,516.0,520.0,480.0,504.0,393.1104736328125,27738
2000-09-05,506.0,520.0,496.0,498.0,388.4305725097656,23025
2000-09-06,516.0,520.0,488.0,496.0,386.87060546875,20559
2000-09-07,512.0,512.0,428.0,460.0,358.7912902832031,23959
2000-09-08,456.5,464.0,440.0,448.0,349.4315490722656,15956
2000-09-11,442.0,448.0,432.0,444.0,346.3115539550781,34547
2000-09-12,435.0,442.0,412.0,416.0,324.47210693359375,33853
2000-09-13,408.0,420.0,396.0,400.0,311.9924011230469,10363
2000-09-14,444.0,444.0,400.0,406.0,316.67230224609375,8109
2000-09-15,402.0,416.0,400.0,402.0,313.5523681640625,3600
2000-09-18,420.0,424.0,382.0,386.0,301.0726623535156,18659
2000-09-19,419.0,420.0,344.0,360.0,280.7932434082031,48038
2000-09-20,368.0,370.0,312.0,332.0,258.9537048339844,24103
2000-09-21,330.0,344.0,326.0,340.0,265.1935119628906,25247
2000-09-22,307.0,346.0,302.0,338.0,263.633544921875,8456
2000-09-25,340.0,346.0,300.0,302.0,235.55430603027344,21066
2000-09-26,316.0,318.0,288.0,296.0,230.87442016601562,19634
2000-09-27,301.0,302.0,276.0,299.0,233.21429443359375,16756
2000-09-28,296.0,344.0,292.0,320.0,249.59397888183594,22041
2000-09-29,323.0,324.0,279.0,284.0,221.51463317871094,19125
2000-10-02,300.0,301.0,268.0,272.0,212.15484619140625,6888
2000-10-03,275.0,284.0,248.0,254.0,198.11517333984375,10128
2000-10-04,256.0,258.0,216.0,228.0,177.83566284179688,14600
2000-10-05,222.0,260.0,208.0,210.0,163.79600524902344,15178
2000-10-06,222.5,224.0,190.0,195.0,152.0962677001953,11413
2000-10-09,210.0,214.0,185.0,198.0,154.4362335205078,10650
2000-10-10,202.0,204.0,176.0,182.0,141.95652770996094,13291
2000-10-11,168.0,184.0,130.0,132.0,102.95750427246094,42488
2000-10-12,163.0,168.0,144.0,166.0,129.4768524169922,37297
2000-10-13,182.0,252.0,177.0,242.0,188.7554168701172,42863
2000-10-16,260.0,262.0,236.0,260.0,202.79507446289062,38531
