Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.46875,7.476562976837158,6.953125,7.109375,2.668490409851074,11653600
2000-01-04,7.085937976837158,7.34375,6.757812976837158,6.78125,2.5453286170959473,8544000
2000-01-05,6.6875,6.78125,6.03125,6.375,2.3928442001342773,12973600
2000-01-06,6.28125,6.375,5.890625,6.007812976837158,2.255021095275879,11642400
2000-01-07,6.0,6.609375,5.984375,6.484375,2.433897018432617,16177600
2000-01-10,6.6875,7.125,6.625,7.09375,2.662625551223755,7756800
2000-01-11,7.09375,7.09375,6.390625,6.515625,2.445627450942993,6324800
2000-01-12,6.59375,6.671875,6.390625,6.671875,2.50427508354187,6470400
2000-01-13,6.714844226837158,6.984375,6.625,6.835937976837158,2.5658559799194336,4000800
2000-01-14,6.890625,7.09375,6.609375,6.609375,2.4808151721954346,4434400
2000-01-18,6.746094226837158,7.09375,6.710937976837158,6.84375,2.5687875747680664,5034400
2000-01-19,6.9375,7.203125,6.875,7.0625,2.650895595550537,6753600
2000-01-20,7.390625,7.65625,7.25,7.554687976837158,2.8356375694274902,19503200
2000-01-21,7.5625,7.609375,7.171875,7.285155773162842,2.734468936920166,8452800
2000-01-24,7.25,7.710937976837158,7.25,7.304687976837158,2.74180006980896,10001600
2000-01-25,7.375,7.390625,7.0,7.25,2.721273899078369,5762400
2000-01-26,7.25,7.59375,7.171875,7.226562976837158,2.712475538253784,7943200
2000-01-27,7.375,7.375,6.375,6.640625,2.4925460815429688,8400800
2000-01-28,6.578125,6.742187976837158,6.203125,6.257812976837158,2.348857879638672,10860000
2000-01-31,6.28125,6.40625,5.8125,6.257812976837158,2.348857879638672,10579200
2000-02-01,6.359375,6.375,6.03125,6.351562976837158,2.3840465545654297,5226400
2000-02-02,6.5,6.875,6.375,6.703125,2.5160043239593506,7731200
2000-02-03,7.046875,7.363280773162842,6.84375,7.226562976837158,2.712475538253784,8777600
2000-02-04,7.234375,7.375,7.125,7.328125,2.7505972385406494,7151200
2000-02-07,7.46875,8.125,7.3125,7.929687976837158,2.976392984390259,20037600
2000-02-08,8.0625,8.15625,7.59375,7.632812976837158,2.864961862564087,13778400
2000-02-09,7.78125,7.96875,7.625,7.859375,2.9500012397766113,5768800
2000-02-10,7.859375,8.671875,7.859375,8.640625,3.243241548538208,14156800
2000-02-11,8.609375,8.625,8.046875,8.21875,3.0848910808563232,10166400
