Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,37.625,37.9375,35.0,35.5625,20.541975021362305,312300
2000-01-04,35.0,35.5,34.5625,35.125,20.289268493652344,318300
2000-01-05,34.875,35.75,34.5625,35.4375,20.469772338867188,255400
2000-01-06,35.125,37.125,35.0,36.25,20.93909454345703,212700
2000-01-07,36.5,37.625,36.375,37.3125,21.552831649780273,153000
2000-01-10,36.75,36.875,35.75,36.375,21.011306762695312,185400
2000-01-11,36.25,36.8125,35.8125,36.4375,21.047412872314453,140500
2000-01-12,36.6875,37.25,36.0,36.3125,20.975202560424805,183400
2000-01-13,36.25,37.5625,36.25,36.9375,21.33621597290039,209400
2000-01-14,36.375,37.25,36.0625,36.9375,21.33621597290039,406000
2000-01-18,36.0,36.75,35.75,36.4375,21.047412872314453,185100
2000-01-19,36.3125,37.0625,36.21875,36.6875,21.19181251525879,248300
2000-01-20,36.6875,37.0625,36.5625,36.8125,21.26401138305664,236200
2000-01-21,37.5,37.5,36.5625,36.625,21.155715942382812,246300
2000-01-24,36.375,36.5625,35.8125,35.8125,20.686376571655273,283600
2000-01-25,35.5625,36.1875,34.875,35.625,20.578081130981445,404600
2000-01-26,35.625,36.25,34.75,36.1875,20.902996063232422,245600
2000-01-27,35.75,36.375,35.375,36.0625,20.830791473388672,154900
2000-01-28,36.0625,36.1875,34.6875,35.875,20.72248077392578,425100
2000-01-31,35.875,36.125,35.5,35.6875,20.614177703857422,206000
2000-02-01,35.4375,35.625,35.0,35.4375,20.469772338867188,169500
2000-02-02,35.375,35.625,35.0,35.3125,20.397573471069336,269300
2000-02-03,35.0,36.3125,35.0,36.1875,20.902996063232422,320200
2000-02-04,36.1875,36.1875,35.4375,35.5,20.505870819091797,224700
2000-02-07,35.25,35.5,34.875,35.0,20.217060089111328,317700
2000-02-08,34.0,34.5625,33.5,34.5625,19.96434211730957,326900
2000-02-09,33.875,33.875,32.25,33.3125,19.242305755615234,510600
2000-02-10,33.3125,33.75,32.75,33.5,19.350618362426758,274700
2000-02-11,33.0,33.75,31.5625,32.5625,18.809085845947266,374900
2000-02-14,32.0,32.4375,31.3125,32.4375,18.736886978149414,274300
2000-02-15,32.25,33.875,32.125,33.5,19.350618362426758,276800
2000-02-16,33.5,33.5,32.1875,33.125,19.134010314941406,204100
2000-02-17,33.375,33.5,31.75,32.375,18.700775146484375,257600
2000-02-18,32.0,32.0,31.5,31.75,18.339759826660156,196700
