Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,13.75,13.75,13.3125,13.40625,4.935256004333496,229400
2000-01-04,13.28125,13.46875,13.21875,13.40625,4.935256004333496,239600
2000-01-05,13.375,14.1875,13.375,14.0625,5.176843166351318,284200
2000-01-06,14.0,14.25,13.84375,14.0625,5.176843166351318,142800
2000-01-07,14.0625,14.3125,14.0,14.25,5.245867729187012,130400
2000-01-10,14.21875,14.34375,14.125,14.28125,5.257372856140137,205800
2000-01-11,14.21875,14.34375,14.1875,14.25,5.245867729187012,193400
2000-01-12,14.125,14.4375,14.09375,14.40625,5.303389072418213,150200
2000-01-13,14.40625,14.625,14.40625,14.53125,5.349405288696289,177000
2000-01-14,14.625,14.625,14.21875,14.34375,5.280378341674805,226400
2000-01-18,14.25,14.375,14.03125,14.25,5.245867729187012,219800
2000-01-19,14.21875,14.46875,14.125,14.375,5.291884899139404,247800
2000-01-20,14.3125,14.9375,14.125,14.9375,5.498959064483643,405200
2000-01-21,15.03125,17.375,15.0,16.71875,6.154690742492676,1513200
2000-01-24,16.71875,18.875,16.71875,17.3125,6.37326717376709,1821200
2000-01-25,17.3125,17.625,15.3125,15.625,5.752050876617432,584400
2000-01-26,15.625,15.625,15.09375,15.28125,5.625502109527588,1566800
2000-01-27,15.09375,15.09375,14.84375,14.9375,5.5904154777526855,882600
2000-01-28,14.9375,14.9375,14.6875,14.84375,5.555331230163574,319000
2000-01-31,14.75,14.90625,14.6875,14.90625,5.5787224769592285,315600
2000-02-01,14.90625,14.90625,14.75,14.90625,5.5787224769592285,631000
2000-02-02,14.90625,14.90625,14.4375,14.4375,5.403289794921875,356200
2000-02-03,14.5625,14.75,14.5625,14.75,5.520242691040039,638200
2000-02-04,14.75,14.75,14.375,14.53125,5.438376426696777,237400
2000-02-07,14.5,14.5625,14.375,14.53125,5.438376426696777,159600
2000-02-08,14.59375,14.625,14.46875,14.5625,5.450069427490234,723000
2000-02-09,14.53125,14.6875,14.53125,14.65625,5.4851555824279785,213000
2000-02-10,14.59375,15.0,14.59375,14.875,5.567026615142822,492600
2000-02-11,14.84375,15.25,14.75,15.09375,5.648895740509033,303000
2000-02-14,15.15625,15.4375,15.03125,15.21875,5.695675849914551,222800
2000-02-15,15.28125,15.71875,15.1875,15.6875,5.871105670928955,343600
2000-02-16,15.6875,15.6875,15.46875,15.5625,5.824326515197754,172600
2000-02-17,15.5,15.625,15.375,15.46875,5.789241790771484,670800
2000-02-18,15.40625,15.46875,15.03125,15.125,5.660589694976807,173200
2000-02-22,15.09375,15.1875,14.78125,15.0,5.61380672454834,279200
2000-02-23,14.96875,15.0,14.5,14.75,5.520242691040039,462400
2000-02-24,14.75,14.75,14.4375,14.53125,5.438376426696777,250200
2000-02-25,14.53125,14.59375,14.1875,14.21875,5.321422576904297,194800
2000-02-28,14.21875,14.3125,14.03125,14.1875,5.309727191925049,247400
2000-02-29,14.1875,14.21875,14.0,14.0625,5.26294469833374,254400
2000-03-01,14.125,14.21875,13.6875,13.9375,5.216162204742432,190600
2000-03-02,13.9375,14.09375,13.75,13.75,5.145990371704102,374800
2000-03-03,13.8125,13.8125,13.65625,13.71875,5.13429594039917,347000
2000-03-06,13.75,13.75,13.5,13.65625,5.110905647277832,239800
2000-03-07,13.625,13.8125,13.53125,13.8125,5.169379711151123,532600
2000-03-08,13.8125,14.40625,13.75,14.28125,5.344814777374268,423400
2000-03-09,14.15625,14.3125,14.15625,14.28125,5.344814777374268,658800
2000-03-10,14.21875,14.3125,13.90625,14.15625,5.298031806945801,187400
2000-03-13,14.125,14.125,13.8125,13.90625,5.204470157623291,129800
2000-03-14,13.90625,14.0,13.625,13.78125,5.157687187194824,141800
2000-03-15,13.8125,14.0,13.65625,13.96875,5.227859020233154,251800
2000-03-16,13.96875,15.46875,13.96875,15.4375,5.777543544769287,476200
2000-03-17,14.9375,14.96875,14.59375,14.65625,5.4851555824279785,234600
2000-03-20,14.71875,15.03125,14.6875,14.78125,5.531941890716553,146600
2000-03-21,14.8125,14.96875,14.5,14.5625,5.450069427490234,204200
2000-03-22,14.5625,14.625,14.125,14.1875,5.309727191925049,147000
2000-03-23,14.1875,14.59375,14.1875,14.5625,5.450069427490234,169400
2000-03-24,14.53125,14.5625,14.40625,14.46875,5.414989471435547,127600
2000-03-27,14.46875,14.46875,14.15625,14.15625,5.298031806945801,208800
2000-03-28,14.21875,14.21875,13.875,13.875,5.192770957946777,118600
2000-03-29,13.96875,14.625,13.96875,14.40625,5.391592979431152,324600
2000-03-30,14.53125,14.90625,14.53125,14.65625,5.4851555824279785,213000
2000-03-31,14.71875,15.21875,14.625,15.21875,5.695675849914551,390800
2000-04-03,15.125,15.125,14.65625,14.84375,5.555331230163574,201600
2000-04-04,14.78125,15.03125,14.1875,14.6875,5.496854305267334,191000
2000-04-05,14.625,15.1875,14.625,15.03125,5.625503063201904,180600
2000-04-06,15.03125,15.0625,14.65625,14.75,5.520242691040039,112600
2000-04-07,14.71875,14.8125,14.4375,14.625,5.47346305847168,173200
2000-04-10,14.59375,14.84375,14.5625,14.75,5.520242691040039,128600
2000-04-11,14.75,15.03125,14.6875,14.875,5.567026615142822,234400
2000-04-12,14.8125,15.25,14.8125,14.96875,5.602112770080566,135800
2000-04-13,14.84375,15.125,14.75,15.09375,5.648895740509033,157200
2000-04-14,15.0625,15.0625,14.5625,14.59375,5.461769104003906,205600
2000-04-17,14.5,14.9375,14.25,14.9375,5.5904154777526855,213200
2000-04-18,14.9375,15.1875,14.6875,15.15625,5.672286033630371,234400
2000-04-19,15.15625,15.15625,14.625,15.0,5.61380672454834,159400
2000-04-20,14.9375,15.125,14.84375,15.03125,5.625503063201904,104000
2000-04-24,15.125,15.25,15.0,15.15625,5.672286033630371,93000
2000-04-25,15.0625,15.4375,15.03125,15.34375,5.742457866668701,365400
2000-04-26,15.125,15.9375,15.09375,15.84375,6.027795791625977,963800
2000-04-27,15.75,15.84375,15.375,15.4375,5.8732380867004395,137800
2000-04-28,15.5,15.5,14.8125,15.0,5.706788539886475,152200
2000-05-01,15.03125,15.125,14.8125,14.8125,5.635455131530762,103800
2000-05-02,14.8125,14.8125,14.28125,14.3125,5.445230007171631,229000
2000-05-03,14.375,14.4375,14.125,14.3125,5.445230007171631,151600
2000-05-04,14.4375,15.09375,14.4375,14.96875,5.694902420043945,349200
2000-05-05,14.875,14.9375,14.28125,14.4375,5.492784023284912,235000
2000-05-08,14.34375,15.0625,14.34375,14.78125,5.623568058013916,278000
2000-05-09,14.65625,14.9375,14.28125,14.46875,5.504676342010498,336600
2000-05-10,14.5,14.6875,14.375,14.625,5.564119338989258,320600
2000-05-11,14.5625,14.96875,14.5625,14.90625,5.6711249351501465,194400
2000-05-12,14.96875,14.96875,14.4375,14.625,5.564119338989258,162200
2000-05-15,14.75,15.21875,14.5,15.125,5.754347801208496,355200
2000-05-16,15.125,15.125,14.78125,14.90625,5.6711249351501465,180000
2000-05-17,14.90625,14.90625,14.5,14.5625,5.540344715118408,367600
2000-05-18,14.6875,14.96875,14.625,14.71875,5.59978723526001,157400
2000-05-19,14.625,14.625,14.28125,14.4375,5.492784023284912,141200
2000-05-22,14.4375,14.875,14.4375,14.5,5.516565322875977,129000
2000-05-23,14.375,14.375,14.09375,14.125,5.373894691467285,203800
2000-05-24,14.15625,14.3125,14.0625,14.1875,5.397673606872559,155200
2000-05-25,14.0625,14.0625,13.75,13.96875,5.314446926116943,200800
2000-05-26,14.03125,14.34375,14.0,14.25,5.421449661254883,152800
2000-05-30,14.375,14.5,13.8125,14.09375,5.362005710601807,171600
2000-05-31,14.09375,14.125,13.84375,13.84375,5.2668938636779785,151800
2000-06-01,13.875,14.21875,13.875,14.15625,5.385783672332764,120800
2000-06-02,14.21875,14.375,14.1875,14.3125,5.445230007171631,273600
2000-06-05,14.25,14.28125,13.75,13.875,5.278777599334717,165400
2000-06-06,13.84375,14.25,13.78125,14.1875,5.397673606872559,197200
2000-06-07,14.0625,14.15625,13.9375,14.0625,5.350113868713379,131400
2000-06-08,14.125,14.125,13.75,13.875,5.278777599334717,125400
2000-06-09,13.875,14.25,13.875,14.1875,5.397673606872559,194000
2000-06-12,14.0625,14.375,14.0625,14.125,5.373894691467285,101600
2000-06-13,14.125,14.46875,14.125,14.21875,5.4095635414123535,160600
2000-06-14,14.15625,14.28125,14.03125,14.09375,5.362005710601807,141000
2000-06-15,14.0625,14.75,14.0625,14.65625,5.576012134552002,309200
2000-06-16,14.125,14.96875,14.125,14.8125,5.635455131530762,450200
2000-06-19,14.75,14.8125,14.5,14.53125,5.528456211090088,156600
2000-06-20,14.53125,14.625,14.3125,14.4375,5.492784023284912,192400
2000-06-21,14.46875,14.65625,14.34375,14.34375,5.457119941711426,125200
2000-06-22,14.34375,14.375,13.9375,13.9375,5.302560329437256,234000
2000-06-23,14.0,14.1875,13.6875,13.96875,5.314446926116943,326200
2000-06-26,13.9375,14.09375,13.90625,13.9375,5.302560329437256,164600
2000-06-27,13.90625,13.9375,13.375,13.375,5.088556289672852,219800
2000-06-28,13.4375,13.75,13.1875,13.71875,5.21933650970459,235000
2000-06-29,13.65625,13.84375,13.59375,13.71875,5.21933650970459,174600
2000-06-30,13.71875,13.84375,12.875,13.007813453674316,4.948858261108398,915800
2000-07-03,13.25,13.4375,13.21875,13.3125,5.064776420593262,129000
2000-07-05,13.375,13.46875,13.15625,13.25,5.040998458862305,194600
2000-07-06,13.25,13.40625,13.25,13.28125,5.0528883934021,109400
2000-07-07,13.28125,13.46875,13.28125,13.34375,5.076666355133057,225600
2000-07-10,13.375,13.59375,13.375,13.46875,5.124224662780762,396000
2000-07-11,13.25,13.40625,13.25,13.25,5.040998458862305,406800
2000-07-12,13.28125,13.3125,13.21875,13.21875,5.029107570648193,399600
2000-07-13,13.28125,13.3125,13.21875,13.28125,5.0528883934021,234600
2000-07-14,13.40625,13.4375,13.25,13.25,5.040998458862305,167400
2000-07-17,13.25,13.34375,13.15625,13.25,5.040998458862305,335200
2000-07-18,13.25,13.46875,13.1875,13.34375,5.076666355133057,318600
2000-07-19,13.34375,13.71875,13.28125,13.5625,5.159891128540039,268600
2000-07-20,13.5,13.59375,13.40625,13.5,5.136111259460449,222600
2000-07-21,13.375,13.59375,13.28125,13.34375,5.076666355133057,241200
2000-07-24,13.375,13.375,13.0625,13.09375,4.981554985046387,172600
2000-07-25,13.15625,13.3125,13.09375,13.28125,5.0528883934021,317600
2000-07-26,13.34375,13.34375,13.25,13.34375,5.076666355133057,4593800
2000-07-27,13.25,13.4375,13.25,13.4375,5.2099432945251465,780000
2000-07-28,13.375,13.40625,13.09375,13.3125,5.161478042602539,147800
2000-07-31,13.25,13.34375,13.09375,13.15625,5.1008992195129395,112000
2000-08-01,13.125,13.4375,13.125,13.40625,5.197827339172363,123400
2000-08-02,13.34375,13.625,13.3125,13.625,5.2826385498046875,238200
2000-08-03,13.59375,14.0,13.59375,13.789063453674316,5.346249103546143,314200
2000-08-04,13.8125,13.96875,13.5625,13.71875,5.3189897537231445,219200
2000-08-07,13.84375,14.09375,13.8125,14.007813453674316,5.431063175201416,288200
2000-08-08,13.96875,14.59375,13.96875,14.40625,5.585546493530273,453400
2000-08-09,14.40625,14.75,14.34375,14.4375,5.59766149520874,532800
2000-08-10,14.5,14.625,14.4375,14.601563453674316,5.661268711090088,263600
2000-08-11,14.5625,14.90625,14.5625,14.84375,5.755168914794922,253600
2000-08-14,14.84375,14.84375,14.53125,14.625,5.6703572273254395,159200
2000-08-15,14.71875,14.78125,14.4375,14.4375,5.59766149520874,123800
2000-08-16,14.5625,14.625,14.4375,14.5625,5.646125316619873,160200
2000-08-17,14.59375,14.75,14.4375,14.59375,5.658240795135498,208200
2000-08-18,14.53125,14.71875,14.5,14.71875,5.706705093383789,145600
2000-08-21,14.6875,14.6875,14.28125,14.34375,5.561309337615967,146800
2000-08-22,14.3125,14.375,14.1875,14.28125,5.537078857421875,128000
2000-08-23,14.25,14.28125,14.1875,14.25,5.524960994720459,84200
2000-08-24,14.1875,14.3125,14.0625,14.21875,5.512847900390625,144000
2000-08-25,14.1875,14.34375,14.0625,14.21875,5.512847900390625,142600
2000-08-28,14.21875,14.59375,14.1875,14.5625,5.646125316619873,214600
2000-08-29,14.5625,14.65625,14.53125,14.5625,5.646125316619873,154200
2000-08-30,14.53125,14.625,14.53125,14.59375,5.658240795135498,115000
2000-08-31,14.5625,14.78125,14.5625,14.625,5.6703572273254395,218000
2000-09-01,14.625,14.8125,14.5625,14.75,5.718820095062256,124800
2000-09-05,14.75,14.9375,14.6875,14.71875,5.706705093383789,106200
2000-09-06,14.8125,14.96875,14.6875,14.9375,5.791518211364746,203600
2000-09-07,14.96875,15.09375,14.90625,15.0625,5.839981555938721,173600
2000-09-08,15.0,15.359375,15.0,15.359375,5.955086708068848,175000
2000-09-11,15.3125,15.625,15.25,15.539063453674316,6.024753570556641,183600
2000-09-12,15.46875,15.5,15.125,15.375,5.961144924163818,244000
2000-09-13,15.375,15.46875,15.09375,15.09375,5.8520989418029785,158200
2000-09-14,15.0625,15.125,14.875,15.03125,5.827865123748779,142800
2000-09-15,14.9375,15.46875,14.9375,15.257813453674316,5.915709018707275,299600
2000-09-18,15.1875,15.1875,14.8125,14.9375,5.791518211364746,145200
2000-09-19,14.84375,14.84375,14.34375,14.40625,5.585546493530273,189000
2000-09-20,14.46875,14.5,14.03125,14.25,5.524960994720459,196600
2000-09-21,14.25,14.375,13.8125,14.03125,5.440149307250977,154600
2000-09-22,13.96875,14.34375,13.875,14.25,5.524960994720459,166800
2000-09-25,14.40625,14.40625,14.125,14.28125,5.537078857421875,162200
2000-09-26,14.1875,14.53125,14.0625,14.34375,5.561309337615967,173200
2000-09-27,14.34375,14.59375,14.3125,14.5625,5.646125316619873,118800
2000-09-28,14.53125,14.75,14.4375,14.53125,5.634007930755615,117800
2000-09-29,14.4375,14.75,14.4375,14.695313453674316,5.69761848449707,294000
2000-10-02,14.625,14.8125,14.5625,14.75,5.718820095062256,172200
2000-10-03,14.75,14.9375,14.71875,14.78125,5.730937480926514,315000
2000-10-04,14.71875,14.8125,14.3125,14.34375,5.561309337615967,234400
2000-10-05,14.34375,14.5625,14.34375,14.53125,5.634007930755615,188000
2000-10-06,14.53125,14.6875,14.5,14.5625,5.646125316619873,109800
2000-10-09,14.5625,14.65625,14.4375,14.625,5.6703572273254395,128200
2000-10-10,14.625,15.0625,14.625,14.875,5.7672858238220215,152400
2000-10-11,14.8125,15.0625,14.78125,14.875,5.7672858238220215,193200
2000-10-12,14.8125,15.0,14.78125,14.84375,5.755168914794922,182000
2000-10-13,14.75,15.03125,14.75,15.03125,5.827865123748779,330200
2000-10-16,15.0,15.15625,15.0,15.125,5.86421537399292,141400
2000-10-17,15.125,15.25,15.125,15.1875,5.888446807861328,424400
2000-10-18,15.125,15.125,14.9375,15.03125,5.827865123748779,328200
2000-10-19,15.03125,15.15625,15.03125,15.125,5.86421537399292,165000
2000-10-20,15.1875,15.34375,15.0,15.03125,5.827865123748779,266200
2000-10-23,15.125,15.34375,15.09375,15.1875,5.888446807861328,117200
2000-10-24,15.125,15.25,14.96875,15.03125,5.827865123748779,164400
2000-10-25,15.0,15.0625,14.71875,14.75,5.718820095062256,127000
2000-10-26,14.8125,15.0,14.71875,14.8125,5.743053436279297,4205400
2000-10-27,14.6875,14.875,14.5625,14.8125,5.841646671295166,396400
2000-10-30,14.75,15.28125,14.75,15.1875,5.989536285400391,146800
2000-10-31,15.21875,15.25,15.0625,15.15625,5.977211952209473,187000
2000-11-01,15.25,15.4375,15.1875,15.28125,6.026508331298828,255800
2000-11-02,15.25,15.3125,15.0625,15.1875,5.989536285400391,128200
2000-11-03,15.09375,15.21875,14.9375,15.03125,5.927914142608643,120400
2000-11-06,15.125,15.25,15.03125,15.125,5.964888572692871,128600
2000-11-07,15.125,15.1875,14.96875,14.96875,5.9032673835754395,181400
2000-11-08,15.03125,15.15625,14.84375,14.84375,5.853971004486084,220200
2000-11-09,14.90625,15.1875,14.84375,15.125,5.964888572692871,206600
2000-11-10,15.1875,15.46875,15.15625,15.40625,6.0758056640625,282400
2000-11-13,15.40625,15.6875,15.40625,15.5625,6.13742733001709,351000
2000-11-14,15.6875,15.6875,15.46875,15.5,6.1127753257751465,204000
2000-11-15,15.5625,15.59375,15.34375,15.46875,6.100454330444336,180400
2000-11-16,15.4375,15.5,15.21875,15.375,6.06348180770874,285200
2000-11-17,15.4375,15.625,15.375,15.53125,6.125100612640381,145400
2000-11-20,15.46875,15.75,15.46875,15.6875,6.186721324920654,155200
2000-11-21,15.6875,15.75,15.5,15.75,6.211373329162598,218200
2000-11-22,15.65625,15.75,15.65625,15.75,6.211373329162598,132000
2000-11-24,15.6875,15.78125,15.65625,15.71875,6.199046611785889,91200
2000-11-27,15.84375,15.84375,15.65625,15.71875,6.199046611785889,184800
2000-11-28,15.625,15.75,15.625,15.75,6.211373329162598,254200
2000-11-29,15.75,15.875,15.625,15.8125,6.23601770401001,131000
2000-11-30,15.8125,15.9375,15.625,15.9375,6.285315990447998,211400
2000-12-01,15.875,15.90625,15.71875,15.84375,6.248343467712402,147600
2000-12-04,15.84375,15.96875,15.8125,15.96875,6.297638416290283,148200
2000-12-05,15.96875,15.96875,15.25,15.3125,6.038834095001221,421800
2000-12-06,15.375,15.5,15.1875,15.25,6.014184474945068,388400
2000-12-07,15.25,15.34375,15.1875,15.25,6.014184474945068,230200
2000-12-08,15.28125,15.75,15.1875,15.75,6.211373329162598,308800
2000-12-11,15.6875,15.6875,15.25,15.375,6.06348180770874,447800
2000-12-12,15.34375,15.34375,14.96875,15.0625,5.940238952636719,275000
2000-12-13,15.09375,15.15625,14.90625,14.96875,5.9032673835754395,242800
2000-12-14,14.96875,15.09375,14.8125,14.8125,5.841646671295166,204200
2000-12-15,14.6875,14.9375,14.5625,14.78125,5.829323768615723,434400
2000-12-18,14.90625,14.9375,14.625,14.75,5.816997528076172,291800
2000-12-19,14.75,14.75,14.625,14.6875,5.792352676391602,324800
2000-12-20,14.6875,14.875,14.5,14.78125,5.829323768615723,454200
2000-12-21,14.84375,15.25,14.8125,15.1875,5.989536285400391,253400
2000-12-22,15.25,15.3125,15.125,15.3125,6.038834095001221,120800
2000-12-26,15.28125,15.40625,15.125,15.40625,6.0758056640625,206400
2000-12-27,15.40625,15.625,15.375,15.625,6.162074565887451,304200
2000-12-28,15.65625,16.0,15.65625,16.0,6.309965133666992,361400
2000-12-29,15.90625,16.0625,15.875,15.9375,6.285315990447998,258200
2001-01-02,16.0,16.0625,15.46875,15.5,6.1127753257751465,306400
2001-01-03,15.5,15.875,15.3125,15.34375,6.051157474517822,382800
2001-01-04,15.28125,15.375,14.625,14.71875,5.80467414855957,622400
2001-01-05,14.6875,14.875,14.4375,14.5,5.718407154083252,322200
2001-01-08,14.46875,14.625,14.375,14.625,5.767702579498291,513600
2001-01-09,14.6875,14.9375,14.6875,14.9375,5.89094352722168,567800
2001-01-10,15.03125,15.3125,15.0,15.3125,6.038834095001221,471000
2001-01-11,15.28125,15.3125,15.0,15.0625,5.940238952636719,735000
2001-01-12,15.03125,15.09375,14.90625,14.9375,5.89094352722168,406000
2001-01-16,14.875,15.0,14.75,14.9375,5.89094352722168,476600
2001-01-17,14.96875,15.15625,14.96875,15.09375,5.952564239501953,222200
2001-01-18,15.125,15.25,15.0,15.25,6.014184474945068,210800
2001-01-19,15.25,15.40625,15.09375,15.34375,6.051157474517822,260000
2001-01-22,15.3125,15.46875,15.25,15.3125,6.038834095001221,272400
2001-01-23,15.40625,15.75,15.375,15.6875,6.186721324920654,303400
2001-01-24,15.6875,15.96875,15.625,15.875,6.260671615600586,303600
2001-01-25,15.84375,15.96875,15.78125,15.9375,6.285315990447998,426000
2001-01-26,15.90625,16.0,15.65625,15.875,6.260671615600586,5273800
2001-01-29,15.6899995803833,15.850000381469727,15.625,15.630000114440918,6.262670516967773,679800
2001-01-30,15.725000381469727,15.739999771118164,15.475000381469727,15.494999885559082,6.2085747718811035,243200
2001-01-31,15.600000381469727,15.600000381469727,15.149999618530273,15.25,6.110410213470459,260800
2001-02-01,15.25,15.25,15.015000343322754,15.25,6.110410213470459,175000
2001-02-02,15.25,15.25,15.055000305175781,15.0649995803833,6.036284446716309,247400
2001-02-05,15.175000190734863,15.399999618530273,15.074999809265137,15.335000038146973,6.144468307495117,479400
2001-02-06,15.350000381469727,15.420000076293945,15.229999542236328,15.324999809265137,6.1404619216918945,359400
2001-02-07,15.324999809265137,15.744999885559082,15.300000190734863,15.604999542236328,6.252655982971191,295000
2001-02-08,15.550000190734863,15.800000190734863,15.550000190734863,15.699999809265137,6.290717601776123,257800
2001-02-09,15.725000381469727,16.165000915527344,15.675000190734863,16.094999313354492,6.448988914489746,328200
2001-02-12,16.125,16.399999618530273,15.829999923706055,15.9350004196167,6.384879112243652,320400
2001-02-13,15.824999809265137,16.020000457763672,15.800000190734863,15.925000190734863,6.38087272644043,289800
2001-02-14,15.925000190734863,15.949999809265137,15.725000381469727,15.949999809265137,6.390890121459961,159000
2001-02-15,16.024999618530273,16.024999618530273,15.800000190734863,15.949999809265137,6.390890121459961,270000
2001-02-16,15.949999809265137,16.25,15.925000190734863,16.139999389648438,6.467018127441406,346600
2001-02-20,16.139999389648438,16.225000381469727,16.079999923706055,16.18000030517578,6.483046531677246,150400
2001-02-21,16.399999618530273,16.5,16.209999084472656,16.5,6.611264705657959,310000
2001-02-22,16.450000762939453,16.479999542236328,16.325000762939453,16.475000381469727,6.6012468338012695,239000
2001-02-23,16.549999237060547,16.549999237060547,16.290000915527344,16.34000015258789,6.547154903411865,454200
2001-02-26,16.360000610351562,16.600000381469727,16.360000610351562,16.549999237060547,6.631298542022705,274200
2001-02-27,16.524999618530273,16.549999237060547,16.450000762939453,16.475000381469727,6.6012468338012695,157200
2001-02-28,16.5,16.549999237060547,16.350000381469727,16.5,6.611264705657959,258600
2001-03-01,16.5,16.5,16.225000381469727,16.329999923706055,6.543147563934326,274000
2001-03-02,16.329999923706055,16.5,16.329999923706055,16.4950008392334,6.609263896942139,325200
2001-03-05,16.489999771118164,16.59000015258789,16.405000686645508,16.510000228881836,6.615270614624023,175400
2001-03-06,16.424999237060547,16.5,16.325000762939453,16.350000381469727,6.551162242889404,152200
2001-03-07,16.450000762939453,16.5,16.290000915527344,16.399999618530273,6.5711989402771,145400
2001-03-08,16.475000381469727,16.475000381469727,16.235000610351562,16.34000015258789,6.547154903411865,168400
2001-03-09,16.350000381469727,16.350000381469727,16.145000457763672,16.315000534057617,6.537138938903809,150200
2001-03-12,16.174999237060547,16.325000762939453,16.139999389648438,16.225000381469727,6.50108003616333,171400
2001-03-13,16.174999237060547,16.25,15.899999618530273,15.9399995803833,6.386882781982422,217000
2001-03-14,15.9399995803833,15.9399995803833,15.734999656677246,15.75,6.310753345489502,255400
2001-03-15,15.850000381469727,15.895000457763672,15.755000114440918,15.824999809265137,6.340803146362305,128800
2001-03-16,15.800000190734863,15.805000305175781,15.449999809265137,15.574999809265137,6.240636825561523,672600
2001-03-19,15.649999618530273,15.75,15.510000228881836,15.729999542236328,6.302740573883057,215600
2001-03-20,15.625,15.925000190734863,15.574999809265137,15.65999984741211,6.274693489074707,94000
2001-03-21,15.65999984741211,15.824999809265137,15.354999542236328,15.430000305175781,6.182535648345947,161400
2001-03-22,15.430000305175781,15.510000228881836,15.100000381469727,15.279999732971191,6.122434139251709,347800
