Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.5,7.5,6.84375,6.984375,4.357527256011963,832800
2000-01-04,6.96875,7.09375,6.890625,7.078125,4.416018486022949,259600
2000-01-05,7.015625,7.171875,6.953125,7.140625,4.455012321472168,459200
2000-01-06,7.078125,7.109375,6.828125,7.046875,4.396522045135498,301600
2000-01-07,7.015625,7.078125,6.96875,7.015625,4.377026081085205,161600
2000-01-10,6.953125,6.953125,6.6875,6.703125,4.1820573806762695,456400
2000-01-11,6.71875,6.84375,6.640625,6.65625,4.152812480926514,648400
2000-01-12,6.59375,6.6875,6.28125,6.65625,4.152812480926514,826400
2000-01-13,6.71875,7.09375,6.71875,6.8125,4.250295639038086,1039600
2000-01-14,6.84375,7.03125,6.84375,6.875,4.289289951324463,995200
2000-01-18,6.875,6.90625,6.5,6.5,4.05532693862915,1020400
2000-01-19,6.5,6.546875,6.1875,6.359375,3.967592716217041,960400
2000-01-20,6.34375,6.359375,6.25,6.28125,3.918850898742676,443600
2000-01-21,6.34375,6.359375,6.140625,6.25,3.8993542194366455,534800
2000-01-24,6.21875,6.265625,5.953125,6.03125,3.7628777027130127,838800
2000-01-25,6.0625,6.15625,5.9375,6.015625,3.7531278133392334,816400
2000-01-26,6.0625,6.46875,6.0625,6.15625,3.8408632278442383,1647200
2000-01-27,6.34375,6.5625,6.296875,6.34375,3.9578440189361572,779200
2000-01-28,6.3125,6.5,6.1875,6.46875,4.03583288192749,738000
2000-01-31,6.4375,6.671875,6.4375,6.609375,4.123565196990967,479600
2000-02-01,6.625,6.625,6.359375,6.546875,4.084572792053223,426400
2000-02-02,6.5,6.515625,6.078125,6.1875,3.860360860824585,626800
2000-02-03,6.3125,6.5625,6.28125,6.5,4.05532693862915,1090400
2000-02-04,6.59375,6.875,6.5,6.8125,4.250295639038086,1041600
2000-02-07,6.765625,6.765625,6.53125,6.609375,4.123565196990967,617600
2000-02-08,6.59375,6.84375,6.59375,6.75,4.211302280426025,497200
2000-02-09,6.703125,6.765625,6.671875,6.765625,4.221050262451172,389600
2000-02-10,6.765625,6.875,6.75,6.78125,4.230800151824951,561200
2000-02-11,6.8125,6.90625,6.765625,6.78125,4.230800151824951,823600
2000-02-14,6.765625,6.796875,6.734375,6.765625,4.221050262451172,424800
2000-02-15,6.75,7.015625,6.75,7.015625,4.377026081085205,761600
2000-02-16,6.953125,6.96875,6.84375,6.875,4.289289951324463,725200
2000-02-17,6.859375,6.90625,6.8125,6.828125,4.260046005249023,424000
2000-02-18,6.78125,6.90625,6.78125,6.875,4.289289951324463,1544800
2000-02-22,6.75,6.90625,6.75,6.859375,4.279541492462158,248400
2000-02-23,6.859375,7.015625,6.84375,7.015625,4.377026081085205,478000
2000-02-24,6.890625,6.890625,6.578125,6.640625,4.143064498901367,636800
2000-02-25,6.578125,6.625,6.546875,6.578125,4.10407018661499,176400
2000-02-28,6.5625,6.6875,6.390625,6.609375,4.123565196990967,378800
2000-02-29,6.640625,6.84375,6.578125,6.84375,4.269792556762695,600400
2000-03-01,6.8125,6.859375,6.703125,6.859375,4.279541492462158,470400
2000-03-02,6.828125,6.859375,6.65625,6.671875,4.162559986114502,568000
2000-03-03,6.703125,6.75,6.578125,6.609375,4.123565196990967,225200
2000-03-06,6.546875,6.5625,6.3125,6.4375,4.016334056854248,396800
2000-03-07,6.453125,6.453125,6.242187976837158,6.40625,3.996837854385376,624800
2000-03-08,6.34375,6.625,6.21875,6.5625,4.094322204589844,518400
2000-03-09,6.546875,6.671875,6.546875,6.671875,4.162559986114502,276000
