Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,44.0,44.0,41.6875,42.1875,20.781091690063477,703500
2000-01-04,42.125,42.125,40.0,40.875,20.134567260742188,1318500
2000-01-05,40.8125,41.5625,40.8125,41.0625,20.226924896240234,1078900
2000-01-06,40.875,43.5,40.875,43.0,21.181325912475586,1490700
2000-01-07,43.0,43.5,42.5625,43.0625,21.212114334106445,1128000
2000-01-10,44.0,44.0,41.5,41.5625,20.473224639892578,945800
2000-01-11,41.5,41.625,40.875,41.125,20.25771713256836,548000
2000-01-12,41.25,42.25,41.125,42.0,20.917617797851562,831400
2000-01-13,43.5,46.0,42.9375,45.8125,22.816390991210938,1703500
2000-01-14,47.25,47.375,45.75,46.75,23.28331184387207,1377200
2000-01-18,46.75,46.75,45.8125,45.9375,22.87864875793457,1056000
2000-01-19,45.9375,46.5625,45.3125,45.3125,22.56736946105957,845200
2000-01-20,45.5,45.5,43.625,44.0,21.913692474365234,998900
2000-01-21,44.0625,44.125,42.9375,43.875,21.85144805908203,1203300
2000-01-24,44.0,44.125,43.25,43.4375,21.633546829223633,1352700
2000-01-25,43.6875,44.25,43.625,44.0625,21.94481658935547,1014300
2000-01-26,43.875,45.1875,43.75,45.1875,22.5051212310791,989300
2000-01-27,45.5,46.9375,45.0625,46.6875,23.252166748046875,1424300
2000-01-28,46.25,46.5,45.5625,45.875,22.847509384155273,1545700
2000-01-31,45.875,48.0,45.75,48.0,23.905839920043945,1292500
2000-02-01,48.0,48.5,47.5,48.25,24.030349731445312,802400
2000-02-02,48.0,48.1875,46.5,46.6875,23.252166748046875,1043000
2000-02-03,46.5,46.8125,45.25,45.5,22.660747528076172,1148700
2000-02-04,45.625,45.9375,44.4375,44.5625,22.19384002685547,757400
2000-02-07,44.5625,44.5625,43.0625,44.125,21.975955963134766,611800
2000-02-08,44.375,45.9375,44.375,45.0625,22.442853927612305,786200
2000-02-09,44.875,45.1875,44.0625,44.0625,21.94481658935547,682700
2000-02-10,44.25,44.5,42.25,42.6875,21.260025024414062,733400
2000-02-11,42.6875,43.5,41.8125,42.125,20.9798583984375,554600
2000-02-14,42.125,42.3125,41.375,41.625,20.73085594177246,464800
2000-02-15,41.5625,43.25,41.5,43.125,21.477907180786133,570800
2000-02-16,43.0625,43.125,41.9375,42.0,20.917617797851562,559400
2000-02-17,43.125,43.125,41.375,41.75,20.793113708496094,635000
2000-02-18,41.0,41.1875,39.0,40.0,19.921552658081055,1069600
2000-02-22,39.625,40.0,38.8125,39.5,19.672527313232422,854600
2000-02-23,39.5625,39.625,38.375,39.125,19.48575782775879,671000
2000-02-24,39.0625,39.125,38.0,38.0,18.925466537475586,755000
2000-02-25,38.25,39.25,37.625,37.625,18.738698959350586,847900
2000-02-28,38.125,39.6875,38.0625,39.0625,19.454633712768555,922400
2000-02-29,39.25,39.25,38.625,38.6875,19.267868041992188,955200
2000-03-01,38.625,39.0,37.875,38.75,19.298988342285156,755900
2000-03-02,38.6875,39.0,38.0,38.875,19.361249923706055,703100
2000-03-03,39.5,39.5,38.375,38.9375,19.392379760742188,565800
2000-03-06,39.0,39.25,38.125,38.125,18.98771858215332,442600
2000-03-07,38.125,38.125,36.5,36.6875,18.271785736083984,698800
2000-03-08,36.9375,37.25,36.0,36.625,18.240659713745117,862400
