Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,29.875,30.125,28.5625,28.75,15.865002632141113,297300
2000-01-04,28.5,28.9375,27.9375,28.125,15.520113945007324,127000
2000-01-05,28.125,28.25,27.625,27.75,15.313178062438965,121300
2000-01-06,27.5625,28.5,27.375,27.625,15.2442045211792,225100
2000-01-07,27.625,28.125,27.375,28.125,15.520113945007324,222500
2000-01-10,28.0625,28.125,27.0,27.875,15.382164001464844,160800
2000-01-11,27.6875,28.125,27.375,27.5625,15.209708213806152,142000
2000-01-12,27.4375,29.3125,27.3125,28.6875,15.830523490905762,407000
2000-01-13,28.6875,29.0,28.6875,28.75,15.865002632141113,135700
2000-01-14,28.375,28.375,27.375,27.875,15.382164001464844,258700
2000-01-18,27.25,27.4375,26.8125,26.9375,14.864823341369629,142700
2000-01-19,26.6875,28.0625,26.5625,27.6875,15.278694152832031,353800
2000-01-20,27.625,29.125,26.9375,27.0,14.899316787719727,335600
2000-01-21,27.125,27.125,25.6875,26.0625,14.381976127624512,180300
2000-01-24,26.0625,26.0625,25.375,25.5,14.071568489074707,122300
2000-01-25,25.5,25.5,24.5625,25.125,13.86463737487793,174000
2000-01-26,25.0625,25.125,24.0,24.5,13.519743919372559,218000
2000-01-27,25.5,26.125,25.1875,25.25,13.933610916137695,308700
2000-01-28,25.0625,25.375,24.75,24.75,13.657699584960938,147800
2000-01-31,24.75,25.25,24.25,25.125,13.86463737487793,187700
2000-02-01,25.25,25.5625,25.0625,25.125,13.86463737487793,272300
2000-02-02,25.25,26.375,25.25,25.9375,14.312996864318848,395100
2000-02-03,25.875,26.3125,25.0,26.125,14.416464805603027,192500
2000-02-04,26.125,26.375,25.4375,25.625,14.140551567077637,524300
2000-02-07,25.625,25.625,24.6875,24.9375,13.761173248291016,199700
2000-02-08,25.125,25.5625,24.8125,24.9375,13.761173248291016,174200
2000-02-09,24.8125,24.9375,24.25,24.3125,13.416275978088379,232500
2000-02-10,24.3125,24.4375,23.5,23.8125,13.140365600585938,251400
2000-02-11,23.75,23.75,23.1875,23.1875,12.795475959777832,149200
2000-02-14,23.25,24.0625,23.25,23.625,13.036897659301758,204000
2000-02-15,23.75,25.0,23.75,24.8125,13.692192077636719,237700
2000-02-16,24.375,25.0,24.3125,24.5625,13.554230690002441,480300
2000-02-17,24.4375,25.0625,24.4375,24.625,13.588729858398438,152900
2000-02-18,24.5,25.25,23.5625,23.5625,13.002403259277344,355000
2000-02-22,23.5625,25.125,23.5625,24.3125,13.416275978088379,226900
2000-02-23,24.1875,24.1875,23.5,23.5,12.967918395996094,210500
2000-02-24,23.75,23.75,22.25,22.75,12.554045677185059,283600
2000-02-25,22.75,23.5,22.5,22.6875,12.519559860229492,185700
2000-02-28,22.6875,23.375,22.375,22.875,12.623027801513672,171900
2000-02-29,22.625,23.3125,22.5,23.0,12.692004203796387,182500
2000-03-01,22.875,23.4375,22.875,23.0625,12.726496696472168,195800
2000-03-02,22.8125,23.75,22.8125,23.3125,12.988347053527832,235700
2000-03-03,23.125,24.6875,22.8125,24.25,13.51067066192627,226700
2000-03-06,23.75,23.9375,23.1875,23.6875,13.197275161743164,194600
2000-03-07,23.4375,23.5,22.5625,23.0,12.81424331665039,164700
2000-03-08,22.9375,23.75,22.625,23.5,13.092814445495605,152700
2000-03-09,23.25,23.9375,23.125,23.875,13.301751136779785,129700
2000-03-10,24.0625,24.9375,23.875,24.25,13.51067066192627,258300
2000-03-13,24.3125,24.3125,23.5625,23.9375,13.336569786071777,208000
2000-03-14,23.875,25.0,23.75,24.0,13.371386528015137,252100
2000-03-15,24.0,25.6875,23.375,25.1875,14.032995223999023,173900
2000-03-16,25.1875,27.0,25.1875,26.5625,14.799055099487305,422800
2000-03-17,26.4375,26.4375,25.8125,26.0,14.48567008972168,415800
2000-03-20,25.75,25.875,25.0,25.4375,14.172274589538574,225700
2000-03-21,25.1875,25.3125,24.75,24.8125,13.824063301086426,314800
2000-03-22,24.9375,25.0,24.375,24.8125,13.824063301086426,390900
2000-03-23,24.5625,25.5,24.375,25.1875,14.032995223999023,1590300
2000-03-24,25.4375,26.375,25.25,25.375,14.137454986572266,251100
2000-03-27,25.4375,25.4375,24.5,24.625,13.719602584838867,170800
2000-03-28,24.8125,25.375,24.3125,24.8125,13.824063301086426,144700
2000-03-29,24.8125,26.1875,24.8125,25.625,14.276741981506348,418200
2000-03-30,25.8125,27.25,25.75,26.5,14.764236450195312,357200
2000-03-31,26.5,27.0,26.0,26.375,14.694600105285645,438100
2000-04-03,26.625,26.8125,25.5625,26.5625,14.799055099487305,206900
2000-04-04,26.5625,27.4375,25.5625,26.3125,14.659773826599121,574200
2000-04-05,26.5625,27.0,26.1875,26.5625,14.799055099487305,150900
2000-04-06,26.75,27.5625,26.75,27.125,15.112454414367676,142400
2000-04-07,27.0,27.25,26.125,26.6875,14.868705749511719,169900
2000-04-10,26.5,26.6875,25.875,26.125,14.555312156677246,166600
2000-04-11,26.125,27.375,26.0,26.9375,15.007987022399902,220900
2000-04-12,27.5,28.8125,27.3125,28.3125,15.774059295654297,457000
2000-04-13,28.3125,28.75,27.875,28.125,15.66959285736084,199300
2000-04-14,27.625,28.0,27.25,27.3125,15.216914176940918,337700
2000-04-17,27.5,28.75,27.5,28.4375,15.843694686889648,267700
2000-04-18,28.1875,28.5625,27.75,28.25,15.739235877990723,200200
2000-04-19,28.25,28.875,27.5,27.9375,15.5651273727417,179200
2000-04-20,27.6875,29.0625,27.6875,29.0,16.157094955444336,260600
2000-04-24,28.75,29.375,28.625,29.3125,16.33119773864746,204600
2000-04-25,29.25,29.875,29.25,29.875,16.644596099853516,356200
2000-04-26,29.625,30.125,29.5,29.875,16.644596099853516,609300
2000-04-27,29.875,29.9375,29.4375,29.875,16.644596099853516,514900
2000-04-28,29.875,29.875,28.75,29.5,16.435670852661133,275700
2000-05-01,29.25,30.375,28.875,30.1875,16.818710327148438,199700
2000-05-02,30.0,30.3125,29.8125,30.0,16.714235305786133,145800
2000-05-03,29.875,29.875,28.75,29.1875,16.261554718017578,150600
2000-05-04,29.3125,29.6875,28.875,29.6875,16.540124893188477,210400
2000-05-05,29.5,29.875,28.6875,29.875,16.644596099853516,287800
2000-05-08,29.8125,29.8125,29.3125,29.75,16.57494354248047,124000
2000-05-09,29.5,29.8125,29.125,29.4375,16.40084457397461,115800
2000-05-10,29.375,29.375,28.6875,28.875,16.08745002746582,202800
2000-05-11,28.9375,29.1875,28.8125,29.0625,16.19191551208496,261000
2000-05-12,29.125,29.125,28.6875,29.0,16.157094955444336,139800
2000-05-15,28.75,29.0,28.625,28.75,16.017799377441406,337400
2000-05-16,28.5,28.9375,28.4375,28.875,16.08745002746582,516500
2000-05-17,28.6875,28.6875,28.0,28.375,15.808884620666504,200200
2000-05-18,28.125,28.3125,27.5,28.125,15.66959285736084,342600
2000-05-19,27.625,28.9375,27.625,28.9375,16.12227439880371,564000
2000-05-22,28.6875,29.1875,28.6875,29.1875,16.261554718017578,415100
2000-05-23,28.9375,29.625,28.8125,29.5,16.435670852661133,443200
2000-05-24,29.25,29.3125,27.875,28.375,15.808884620666504,288900
2000-05-25,28.125,28.625,27.8125,27.875,15.530303955078125,244200
2000-05-26,27.875,27.875,26.4375,27.25,15.182098388671875,481500
2000-05-30,28.0625,28.625,27.625,27.875,15.530303955078125,566200
2000-05-31,27.625,27.75,26.75,26.875,14.973164558410645,280700
2000-06-01,26.875,27.75,26.875,27.375,15.377618789672852,194800
2000-06-02,27.375,28.875,27.25,28.75,16.15000343322754,212000
2000-06-05,28.5,28.5,27.625,27.875,15.658488273620605,263700
2000-06-06,27.8125,28.125,27.625,28.125,15.798922538757324,129100
2000-06-07,27.875,28.0,27.25,27.4375,15.412734985351562,134400
2000-06-08,27.25,27.25,26.875,26.9375,15.131863594055176,71100
2000-06-09,26.9375,27.3125,26.9375,27.1875,15.272296905517578,219700
2000-06-12,27.25,27.3125,26.375,26.875,15.096750259399414,345400
2000-06-13,26.875,27.0625,26.75,26.875,15.096750259399414,181000
2000-06-14,26.875,27.53125,26.8125,26.8125,15.061639785766602,241200
2000-06-15,26.75,26.8125,26.3125,26.375,14.815879821777344,165300
2000-06-16,25.5,25.96875,25.5,25.9375,14.570119857788086,338900
2000-06-19,26.0625,26.125,25.4375,25.5625,14.359468460083008,209000
2000-06-20,25.5625,25.625,25.0,25.1875,14.148813247680664,164400
2000-06-21,25.0,25.5625,25.0,25.5,14.324357032775879,192000
2000-06-22,25.4375,25.875,25.25,25.4375,14.289258003234863,175400
2000-06-23,25.3125,25.8125,25.3125,25.375,14.25413990020752,152400
2000-06-26,25.4375,26.25,25.375,25.75,14.464797973632812,115900
2000-06-27,25.75,26.625,25.75,26.1875,14.710558891296387,226400
2000-06-28,25.875,25.875,24.375,24.890625,13.982048988342285,389100
2000-06-29,25.0625,25.0625,23.75,24.0,13.4817476272583,490900
2000-06-30,24.0,24.6875,23.0,23.75,13.341320991516113,635400
2000-07-03,23.75,24.5,23.75,24.4375,13.727509498596191,211500
2000-07-05,24.625,24.8125,24.0625,24.25,13.622185707092285,171600
2000-07-06,24.25,24.9375,23.875,24.1875,13.587078094482422,367500
2000-07-07,24.125,24.4375,24.125,24.3125,13.657292366027832,86900
2000-07-10,24.25,24.875,24.25,24.4375,13.727509498596191,152000
2000-07-11,24.75,25.4375,24.625,24.9375,14.00838565826416,245400
2000-07-12,24.9375,25.0625,24.4375,24.625,13.832839012145996,92000
2000-07-13,24.625,25.3125,24.625,25.125,14.113704681396484,166600
2000-07-14,24.875,25.125,24.8125,25.0625,14.07860279083252,133700
2000-07-17,24.9375,25.0625,24.625,24.8125,13.93815803527832,145100
2000-07-18,24.8125,24.9375,24.6875,24.875,13.973268508911133,165000
2000-07-19,24.75,24.875,24.5625,24.6875,13.867948532104492,140600
2000-07-20,24.9375,25.75,24.8125,25.6875,14.42969036102295,285300
2000-07-21,25.8125,26.0625,25.5,25.9375,14.570119857788086,289500
2000-07-24,26.125,26.4375,26.0625,26.125,14.675445556640625,242100
2000-07-25,26.0,26.1875,25.5625,25.6875,14.42969036102295,204100
2000-07-26,25.625,25.9375,25.5,25.5,14.324357032775879,178000
2000-07-27,26.0,26.5625,25.75,26.3125,14.78077220916748,182600
2000-07-28,26.3125,26.3125,25.5625,25.75,14.464797973632812,93500
2000-07-31,25.75,26.4375,25.625,26.1875,14.710558891296387,262200
2000-08-01,26.0,26.125,25.4375,25.75,14.464797973632812,158700
2000-08-02,25.8125,26.625,25.8125,26.5625,14.921207427978516,188600
2000-08-03,26.75,26.75,26.0,26.0,14.605234146118164,142500
2000-08-04,25.75,26.6875,25.6875,26.4375,14.850988388061523,144300
2000-08-07,26.6875,27.125,26.5,27.125,15.237190246582031,142700
2000-08-08,27.0,27.3125,26.875,27.25,15.307411193847656,123600
2000-08-09,27.0,27.625,27.0,27.625,15.518054008483887,175800
2000-08-10,27.5,27.5625,27.25,27.25,15.307411193847656,115600
2000-08-11,27.5,28.375,27.5,28.3125,15.904253005981445,261000
2000-08-14,28.25,28.4375,27.75,28.375,15.939360618591309,238300
2000-08-15,28.1875,28.1875,27.375,27.8125,15.623385429382324,152300
2000-08-16,27.9375,27.9375,27.6875,27.75,15.588276863098145,200600
2000-08-17,27.8125,27.9375,27.4375,27.8125,15.623385429382324,181600
2000-08-18,27.6875,27.9375,27.625,27.875,15.658488273620605,113800
2000-08-21,28.0,28.0,27.3125,27.6875,15.553166389465332,97400
2000-08-22,27.5625,27.75,27.3125,27.625,15.518054008483887,97600
