Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.25,33.25,32.625,33.0,18.091154098510742,336400
2000-01-04,32.5,33.0,32.1875,32.5625,17.851301193237305,494400
2000-01-05,32.5625,33.3125,32.25,32.3125,17.714248657226562,736000
2000-01-06,32.3125,33.375,31.8125,32.9375,18.056886672973633,660400
2000-01-07,33.4375,34.75,33.3125,34.25,18.776418685913086,594700
2000-01-10,34.75,34.75,33.125,33.625,18.43379020690918,389900
2000-01-11,33.375,33.75,32.875,33.25,18.22820281982422,812900
2000-01-12,33.0,33.625,32.75,33.3125,18.262468338012695,561500
2000-01-13,33.3125,34.1875,33.3125,34.0,18.639366149902344,589600
2000-01-14,33.9375,34.6875,33.625,34.0,18.639366149902344,599300
2000-01-18,33.75,33.75,32.5,32.75,17.95408821105957,945900
2000-01-19,32.5,33.25,32.375,32.8125,17.988361358642578,988100
2000-01-20,32.75,32.8125,32.25,32.625,17.885570526123047,943400
2000-01-21,32.0,32.0625,31.0,31.5,17.268817901611328,1000300
2000-01-24,31.625,32.4375,31.3125,32.125,17.61146354675293,586500
2000-01-25,32.125,32.8125,31.25,31.375,17.20029640197754,609700
2000-01-26,31.4375,32.4375,31.1875,32.375,17.748512268066406,503300
2000-01-27,32.0,32.375,29.8125,30.5625,16.754878997802734,1316500
2000-01-28,30.0625,30.1875,29.3125,30.0,16.446496963500977,814900
2000-01-31,29.8125,30.1875,29.125,30.1875,16.549285888671875,612200
2000-02-01,30.0,30.0,27.5,29.3125,16.06960105895996,1023000
2000-02-02,29.375,29.375,27.5,27.875,15.281538009643555,1416900
2000-02-03,27.875,27.875,26.375,26.625,14.596268653869629,1374600
2000-02-04,26.75,27.1875,25.75,26.75,14.664798736572266,1507200
2000-02-07,26.75,27.0,26.25,26.625,14.596268653869629,1126800
2000-02-08,26.75,26.8125,26.125,26.3125,14.424943923950195,1073900
2000-02-09,26.25,26.4375,25.3125,25.4375,13.945261001586914,1127900
2000-02-10,25.0,25.25,24.1875,24.5,13.431306838989258,3271100
2000-02-11,24.5625,24.75,23.75,24.375,13.362776756286621,680900
2000-02-14,24.25,24.5625,24.0625,24.25,13.294254302978516,436300
2000-02-15,24.5,24.625,24.1875,24.3125,13.32851791381836,689700
2000-02-16,24.3125,24.9375,24.3125,24.5,13.431306838989258,1297000
2000-02-17,24.875,25.125,24.25,24.625,13.49983024597168,562200
2000-02-18,24.5625,24.6875,23.125,23.625,12.951621055603027,529900
2000-02-22,23.625,24.5,23.0625,23.875,13.088679313659668,966400
2000-02-23,23.75,24.125,23.5,23.75,13.020145416259766,1101500
2000-02-24,23.625,23.75,22.25,22.75,12.47192668914795,803000
2000-02-25,23.5,23.75,22.8125,22.875,12.540454864501953,545200
2000-02-28,23.1875,23.625,23.0625,23.0625,12.64324951171875,971800
2000-02-29,23.125,23.5625,22.25,22.375,12.266343116760254,1211500
2000-03-01,22.5,23.25,21.75,22.5625,12.369134902954102,1397000
2000-03-02,22.5625,23.0625,22.0625,22.625,12.403402328491211,1166300
2000-03-03,22.5625,23.4375,22.3125,22.5625,12.369134902954102,668600
2000-03-06,22.3125,22.6875,22.1875,22.4375,12.30061149597168,793900
2000-03-07,22.4375,22.6875,22.0625,22.0625,12.0950288772583,885100
2000-03-08,22.125,22.5,21.375,21.75,11.923711776733398,661200
2000-03-09,21.375,23.1875,21.3125,22.75,12.47192668914795,1607800
2000-03-10,22.75,23.25,22.625,23.0,12.608978271484375,634300
2000-03-13,22.75,22.75,22.25,22.5,12.334875106811523,1183300
2000-03-14,22.5,23.5,22.125,22.3125,12.232083320617676,1030100
2000-03-15,22.75,24.5,22.6875,23.875,13.088679313659668,853100
2000-03-16,24.5,27.375,24.5,27.1875,14.904640197753906,1798200
2000-03-17,27.1875,27.75,26.125,26.625,14.596268653869629,1410200
2000-03-20,26.75,27.0,26.125,26.3125,14.424943923950195,720700
2000-03-21,26.0625,27.75,26.0625,27.5625,15.1102294921875,934700
2000-03-22,27.125,27.875,26.875,27.375,15.007428169250488,794500
2000-03-23,27.0625,29.25,27.0625,28.25,15.487115859985352,1290000
